state_po,county,2000vs2016,2000vs2004,2000vs2008,2000vs2012,2004vs2008,2004vs2012,2004vs2016,2008vs2012,2008vs2016,20012vs2016
AL,Cullman,0.452419783,0.21511987,0.334031796,0.376641763,0.118911926,0.161521893,0.237299913,0.042609967,0.118387987,0.07577802
AL,Dale,0.141293316,0.141379234,0.086162657,0.061712022,-0.055216577,-0.079667212,-8.59E-05,-0.024450635,0.055130659,0.079581294
AL,Dallas,-0.17964688,-0.011398617,-0.149362016,-0.201916961,-0.137963399,-0.190518344,-0.168248263,-0.052554945,-0.030284864,0.022270081
AL,DeKalb,0.404073726,0.122050576,0.227642314,0.26413584,0.105591738,0.142085264,0.28202315,0.036493526,0.176431412,0.139937886
AL,Elmore,0.089707679,0.118061361,0.083932974,0.062153081,-0.034128387,-0.05590828,-0.028353682,-0.021779893,0.005774705,0.027554598
AL,Escambia,0.148751854,0.168812882,0.075043011,0.045139167,-0.093769871,-0.123673715,-0.020061028,-0.029903844,0.073708843,0.103612687
AL,Etowah,0.40326439,0.180589931,0.289325562,0.291030044,0.108735631,0.110440113,0.222674459,0.001704482,0.113938828,0.112234346
AL,Fayette,0.454147479,0.196236354,0.294336059,0.338808281,0.098099705,0.142571927,0.257911125,0.044472222,0.15981142,0.115339198
AL,Franklin,0.48431036,0.139436621,0.272174631,0.285398309,0.13273801,0.145961688,0.344873739,0.013223678,0.212135729,0.198912051
AL,Geneva,0.320756779,0.192591488,0.225256035,0.230869914,0.032664547,0.038278426,0.128165291,0.005613879,0.095500744,0.089886865
AL,Greene,-0.046884091,0.012744986,-0.06205633,-0.092336751,-0.074801316,-0.105081737,-0.059629077,-0.030280421,0.015172239,0.04545266
AL,Hale,0.016501022,0.045836566,-0.001191922,-0.038902194,-0.047028488,-0.08473876,-0.029335544,-0.037710272,0.017692944,0.055403216
AL,Henry,0.230279188,0.146485512,0.11333481,0.107028287,-0.033150702,-0.039457225,0.083793676,-0.006306523,0.116944378,0.123250901
AL,Houston,0.073200414,0.092410765,0.010672124,0.005884946,-0.081738641,-0.086525819,-0.019210351,-0.004787178,0.06252829,0.067315468
AL,Jackson,0.652477676,0.175666,0.402316802,0.451774225,0.226650802,0.276108225,0.476811676,0.049457423,0.250160874,0.200703451
AL,Jefferson,-0.104089498,0.058670719,-0.082280929,-0.091282881,-0.140951648,-0.1499536,-0.162760217,-0.009001952,-0.021808569,-0.012806617
AL,Lamar,0.436539685,0.176069502,0.287153926,0.281161651,0.111084424,0.105092149,0.260470183,-0.005992275,0.149385759,0.155378034
AL,Lauderdale,0.341953283,0.090893756,0.169720165,0.196628518,0.078826409,0.105734762,0.251059527,0.026908353,0.172233118,0.145324765
AL,Lawrence,0.537232285,0.163784538,0.331469685,0.320921258,0.167685147,0.15713672,0.373447747,-0.010548427,0.2057626,0.216311027
AL,Lee,0.020777263,0.057892898,-0.007837105,-0.006470574,-0.065730003,-0.064363472,-0.037115635,0.001366531,0.028614368,0.027247837
AL,Limestone,0.265870215,0.143244204,0.198593381,0.215635968,0.055349177,0.072391764,0.122626011,0.017042587,0.067276834,0.050234247
AL,Lowndes,-0.001018017,0.061152776,-0.032573729,-0.06308385,-0.093726505,-0.124236626,-0.062170793,-0.030510121,0.031555712,0.062065833
AL,Macon,0.073197672,0.08215028,0.003961531,0.002264117,-0.078188749,-0.079886163,-0.008952608,-0.001697414,0.069236141,0.070933555
AL,Madison,0.040278913,0.064033157,0.026309438,0.063058204,-0.037723719,-0.000974953,-0.023754244,0.036748766,0.013969475,-0.022779291
AL,Marengo,-0.019030155,0.036836008,-0.020026237,-0.056313054,-0.056862245,-0.093149062,-0.055866163,-0.036286817,0.000996082,0.037282899
AL,Marion,0.561514451,0.205446341,0.364896742,0.418787534,0.159450401,0.213341193,0.35606811,0.053890792,0.196617709,0.142726917
AL,Marshall,0.449039506,0.215595464,0.324011823,0.361385134,0.108416359,0.14578967,0.233444042,0.037373311,0.125027683,0.087654372
AL,Mobile,-0.00695215,0.040705957,-0.052233685,-0.047437036,-0.092939642,-0.088142993,-0.047658107,0.004796649,0.045281535,0.040484886
AL,Monroe,-0.015307859,0.069334284,-0.055543685,-0.080515762,-0.124877969,-0.149850046,-0.084642143,-0.024972077,0.040235826,0.065207903
AL,Montgomery,-0.240619437,0.007363972,-0.173011223,-0.223636229,-0.180375195,-0.231000201,-0.247983409,-0.050625006,-0.067608214,-0.016983208
AL,Morgan,0.290373147,0.16268688,0.210040607,0.217470779,0.047353727,0.054783899,0.127686267,0.007430172,0.08033254,0.072902368
AL,Perry,-0.062569682,0.027996127,-0.055678317,-0.106680585,-0.083674444,-0.134676712,-0.090565809,-0.051002268,-0.006891365,0.044110903
AL,Pickens,0.1364363,0.11834217,0.064354295,0.05052109,-0.053987875,-0.06782108,0.01809413,-0.013833205,0.072082005,0.08591521
AL,Pike,0.038934226,0.103676445,-0.009048805,-0.024654238,-0.11272525,-0.128330683,-0.064742219,-0.015605433,0.047983031,0.063588464
AL,Randolph,0.332951754,0.169227005,0.197387622,0.200220612,0.028160617,0.030993607,0.163724749,0.00283299,0.135564132,0.132731142
AL,Russell,0.129601946,0.146504111,0.075806835,0.031067893,-0.070697276,-0.115436218,-0.016902165,-0.044738942,0.053795111,0.098534053
AL,St. Clair,0.237352961,0.177426691,0.191077011,0.219574584,0.01365032,0.042147893,0.05992627,0.028497573,0.04627595,0.017778377
AL,Shelby,-0.060557783,0.060942534,-0.020441071,0.000681368,-0.081383605,-0.060261166,-0.121500317,0.021122439,-0.040116712,-0.061239151
AL,Sumter,-0.036061181,0.046149454,-0.045654802,-0.088130548,-0.091804256,-0.134280002,-0.082210635,-0.042475746,0.009593621,0.052069367
AL,Talladega,0.154310667,0.132773661,0.085236294,0.060122063,-0.047537367,-0.072651598,0.021537006,-0.025114231,0.069074373,0.094188604
AL,Tallapoosa,0.191548916,0.163790991,0.142381085,0.099895661,-0.021409906,-0.06389533,0.027757925,-0.042485424,0.049167831,0.091653255
AL,Tuscaloosa,0.036812212,0.079099115,0.003599005,0.018135854,-0.07550011,-0.060963261,-0.042286903,0.014536849,0.033213207,0.018676358
AL,Walker,0.598037185,0.285110311,0.391525712,0.456489007,0.106415401,0.171378696,0.312926874,0.064963295,0.206511473,0.141548178
AL,Washington,0.333625681,0.135970791,0.198579954,0.221035589,0.062609163,0.085064798,0.19765489,0.022455635,0.135045727,0.112590092
AL,Wilcox,-0.077467817,-0.004858145,-0.074709317,-0.13896134,-0.069851172,-0.134103195,-0.072609672,-0.064252023,-0.0027585,0.061493523
AL,Winston,0.410904883,0.166145568,0.233304199,0.323951358,0.067158631,0.15780579,0.244759315,0.090647159,0.177600684,0.086953525
AZ,Apache,0.044103244,0.063191874,0.081914099,0.019590649,0.018722225,-0.043601225,-0.01908863,-0.06232345,-0.037810855,0.024512595
AZ,Cochise,0.067774514,0.05826701,0.061532553,0.07847446,0.003265543,0.02020745,0.009507504,0.016941907,0.006241961,-0.010699946
AZ,Coconino,-0.122464474,-0.06203081,-0.103674378,-0.088878987,-0.041643568,-0.026848177,-0.060433664,0.014795391,-0.018790096,-0.033585487
AZ,Gila,0.113423387,0.111096624,0.195902945,0.185259942,0.084806321,0.074163318,0.002326763,-0.010643003,-0.082479558,-0.071836555
AZ,Graham,-0.041779931,0.125019768,0.132758616,0.102382507,0.007738848,-0.022637261,-0.166799699,-0.030376109,-0.174538547,-0.144162438
AZ,Greenlee,0.017934557,0.109368144,0.051630274,-0.041326859,-0.05773787,-0.150695003,-0.091433587,-0.092957133,-0.033695717,0.059261416
AZ,La Paz,0.235346414,0.086299291,0.111929891,0.148145379,0.0256306,0.061846088,0.149047123,0.036215488,0.123416523,0.087201035
AZ,Maricopa,-0.075099824,0.042935722,0.002250451,0.00376819,-0.040685271,-0.039167532,-0.118035546,0.001517739,-0.077350275,-0.078868014
AZ,Mohave,0.354021645,0.125137351,0.172304812,0.266616941,0.047167461,0.14147959,0.228884294,0.094312129,0.181716833,0.087404704
AZ,Navajo,0.078657264,0.052579997,0.093274067,0.055178125,0.04069407,0.002598128,0.026077267,-0.038095942,-0.014616803,0.023479139
AZ,Pima,-0.05539901,0.020327526,0.01972409,0.011086902,-0.000603436,-0.009240624,-0.075726536,-0.008637188,-0.0751231,-0.066485912
AZ,Pinal,0.180986797,0.139507969,0.133177414,0.15265489,-0.006330555,0.013146921,0.041478828,0.019477476,0.047809383,0.028331907
AZ,Santa Cruz,-0.261814428,0.020350494,-0.100673015,-0.165518662,-0.121023509,-0.185869156,-0.282164922,-0.064845647,-0.161141413,-0.096295766
AZ,Yavapai,0.076581081,-0.002931173,0.008193465,0.068942853,0.011124638,0.071874026,0.079512254,0.060749388,0.068387616,0.007638228
AZ,Yuma,-0.116931418,0.032442143,0.010484589,-0.001330468,-0.021957554,-0.033772611,-0.149373561,-0.011815057,-0.127416007,-0.11560095
AR,Arkansas,0.229065082,0.023052282,0.149717783,0.147349303,0.126665501,0.124297021,0.2060128,-0.00236848,0.079347299,0.081715779
AR,Ashley,0.408070121,0.126173051,0.326765857,0.299084292,0.200592806,0.172911241,0.28189707,-0.027681565,0.081304264,0.108985829
AR,Baxter,0.351001474,0.034940757,0.135078713,0.259482251,0.100137956,0.224541494,0.316060717,0.124403538,0.215922761,0.091519223
AR,Benton,0.012090971,0.051608367,0.037996781,0.076526335,-0.013611586,0.024917968,-0.039517396,0.038529554,-0.02590581,-0.064435364
AR,Boone,0.278867424,0.049781041,0.097858063,0.181019258,0.048077022,0.131238217,0.229086383,0.083161195,0.181009361,0.097848166
AR,Bradley,0.314548313,0.036790939,0.226707847,0.270252546,0.189916908,0.233461607,0.277757374,0.043544699,0.087840466,0.044295767
AR,Calhoun,0.353341878,0.122451363,0.296966337,0.316264402,0.174514974,0.193813039,0.230890515,0.019298065,0.056375541,0.037077476
AR,Carroll,0.115650017,-0.011467904,-0.023842944,0.034050976,-0.01237504,0.04551888,0.127117921,0.05789392,0.139492961,0.081599041
AR,Chicot,0.130300472,0.015565845,0.104701041,0.0576306,0.089135196,0.042064755,0.114734627,-0.047070441,0.025599431,0.072669872
AR,Clark,0.194550824,0.009224291,0.140094052,0.165862349,0.130869761,0.156638058,0.185326533,0.025768297,0.054456772,0.028688475
AR,Clay,0.712301174,0.132921505,0.358749466,0.506760755,0.225827961,0.37383925,0.579379669,0.148011289,0.353551708,0.205540419
AR,Cleburne,0.451036317,0.036519444,0.284230186,0.363686938,0.247710742,0.327167494,0.414516873,0.079456752,0.166806131,0.087349379
AR,Cleveland,0.435492622,0.076904257,0.356379556,0.366486716,0.279475299,0.289582459,0.358588365,0.01010716,0.079113066,0.069005906
AR,Columbia,0.15154768,0.054530959,0.132310789,0.12711364,0.07777983,0.072582681,0.097016721,-0.005197149,0.019236891,0.02443404
AR,Conway,0.269875857,-0.002842479,0.182707876,0.188439885,0.185550355,0.191282364,0.272718336,0.005732009,0.087167981,0.081435972
AR,Craighead,0.355951444,0.080911478,0.253660415,0.318539398,0.172748937,0.23762792,0.275039966,0.064878983,0.102291029,0.037412046
AR,Crawford,0.287113806,0.068610067,0.204030209,0.242243254,0.135420142,0.173633187,0.218503739,0.038213045,0.083083597,0.044870552
AR,Crittenden,0.012647603,0.015255328,-0.04351455,-0.045604714,-0.058769878,-0.060860042,-0.002607725,-0.002090164,0.056162153,0.058252317
AR,Cross,0.386191465,0.113190201,0.264414466,0.307996368,0.151224265,0.194806167,0.273001264,0.043581902,0.121776999,0.078195097
AR,Dallas,0.16594742,0.051263571,0.128001015,0.148159893,0.076737444,0.096896322,0.114683849,0.020158878,0.037946405,0.017787527
AR,Desha,0.188370289,0.019510524,0.139109675,0.137200962,0.119599151,0.117690438,0.168859765,-0.001908713,0.049260614,0.051169327
AR,Drew,0.294396935,0.100941947,0.242256853,0.240841019,0.141314906,0.139899072,0.193454988,-0.001415834,0.052140082,0.053555916
AR,Faulkner,0.169150361,0.04964908,0.112220701,0.175486114,0.062571621,0.125837034,0.119501281,0.063265413,0.05692966,-0.006335753
AR,Franklin,0.442855046,0.062718956,0.294378403,0.345981134,0.231659447,0.283262178,0.38013609,0.051602731,0.148476643,0.096873912
AR,Fulton,0.489166355,0.016070436,0.174230964,0.316442561,0.158160528,0.300372125,0.473095919,0.142211597,0.314935391,0.172723794
AR,Garland,0.246941986,0.001332117,0.159250526,0.209130054,0.157918409,0.207797937,0.245609869,0.049879528,0.08769146,0.037811932
AR,Grant,0.459823639,0.123571577,0.384765315,0.394023141,0.261193738,0.270451564,0.336252062,0.009257826,0.075058324,0.065800498
AR,Greene,0.562994144,0.08720074,0.335666586,0.407595231,0.248465846,0.320394491,0.475793404,0.071928645,0.227327558,0.155398913
AR,Hempstead,0.380424187,0.061487717,0.284337661,0.355681088,0.222849944,0.294193371,0.31893647,0.071343427,0.096086526,0.024743099
AR,Hot Spring,0.464713079,0.04905616,0.288500113,0.334309294,0.239443953,0.285253134,0.415656919,0.045809181,0.176212966,0.130403785
AR,Howard,0.327410976,0.056332751,0.190914987,0.259485221,0.134582236,0.20315247,0.271078225,0.068570234,0.136495989,0.067925755
AR,Independence,0.432051284,0.066551674,0.285165745,0.353215237,0.218614071,0.286663563,0.36549961,0.068049492,0.146885539,0.078836047
AR,Izard,0.594464736,0.101802569,0.325329924,0.445430412,0.223527355,0.343627843,0.492662167,0.120100488,0.269134812,0.149034324
AR,Jackson,0.552400289,0.082519892,0.388993667,0.408509796,0.306473775,0.325989904,0.469880397,0.019516129,0.163406622,0.143890493
AR,Jefferson,0.077195764,0.018932032,0.066008392,0.038742671,0.04707636,0.019810639,0.058263732,-0.027265721,0.011187372,0.038453093
AR,Johnson,0.34806438,0.031611171,0.176764114,0.225655959,0.145152943,0.194044788,0.316453209,0.048891845,0.171300266,0.122408421
AR,Lafayette,0.333065781,0.090814738,0.269433272,0.263582891,0.178618534,0.172768153,0.242251043,-0.005850381,0.063632509,0.06948289
AR,Lawrence,0.596839161,0.014494326,0.313229982,0.419662539,0.298735656,0.405168213,0.582344835,0.106432557,0.283609179,0.177176622
AR,Lee,0.16668209,0.07507601,0.118911498,0.092369165,0.043835488,0.017293155,0.09160608,-0.026542333,0.047770592,0.074312925
AR,Lincoln,0.435973004,0.06605745,0.303796878,0.329274872,0.237739428,0.263217422,0.369915554,0.025477994,0.132176126,0.106698132
AR,Little River,0.536425461,0.094736326,0.403987893,0.476901857,0.309251567,0.382165531,0.441689135,0.072913964,0.132437568,0.059523604
AR,Logan,0.360184976,0.051845923,0.238789328,0.270054193,0.186943405,0.21820827,0.308339053,0.031264865,0.121395648,0.090130783
AR,Lonoke,0.318180063,0.105932725,0.265600877,0.298937186,0.159668152,0.193004461,0.212247338,0.033336309,0.052579186,0.019242877
AR,Madison,0.25155894,-0.009230165,0.052201068,0.092802474,0.061431233,0.102032639,0.260789105,0.040601406,0.199357872,0.158756466
AR,Marion,0.354688696,0.027729133,0.104451753,0.193824426,0.07672262,0.166095293,0.326959563,0.089372673,0.250236943,0.16086427
AR,Miller,0.363722646,0.084702038,0.262252032,0.325591269,0.177549994,0.240889231,0.279020608,0.063339237,0.101470614,0.038131377
AR,Mississippi,0.256943877,0.047590795,0.173652688,0.161765237,0.126061893,0.114174442,0.209353082,-0.011887451,0.083291189,0.09517864
AR,Monroe,0.237807954,0.050173612,0.216736398,0.177054056,0.166562786,0.126880444,0.187634342,-0.039682342,0.021071556,0.060753898
AR,Montgomery,0.347911615,0.028445035,0.166921958,0.241134354,0.138476923,0.212689319,0.31946658,0.074212396,0.180989657,0.106777261
AR,Nevada,0.278698366,0.035675161,0.180754776,0.220530758,0.145079615,0.184855597,0.243023205,0.039775982,0.09794359,0.058167608
AR,Newton,0.242649782,-0.046381001,0.017897463,0.076668317,0.064278464,0.123049318,0.289030783,0.058770854,0.224752319,0.165981465
AR,Ouachita,0.17341895,0.084486854,0.178279206,0.155833291,0.093792352,0.071346437,0.088932096,-0.022445915,-0.004860256,0.017585659
AR,Perry,0.338650106,-0.000295579,0.208779472,0.237690314,0.209075051,0.237985893,0.338945685,0.028910842,0.129870634,0.100959792
AR,Phillips,0.039441395,0.027757154,0.017862713,-0.020846153,-0.009894441,-0.048603307,0.011684241,-0.038708866,0.021578682,0.060287548
AR,Pike,0.450216088,0.039816139,0.24403552,0.357952068,0.204219381,0.318135929,0.410399949,0.113916548,0.206180568,0.09226402
AR,Poinsett,0.623023209,0.087419292,0.426551943,0.495772681,0.339132651,0.408353389,0.535603917,0.069220738,0.196471266,0.127250528
AR,Polk,0.339115367,0.030964483,0.14008294,0.251706176,0.109118457,0.220741693,0.308150884,0.111623236,0.199032427,0.087409191
AR,Pope,0.250392835,0.063300448,0.184918005,0.223156191,0.121617557,0.159855743,0.187092387,0.038238186,0.06547483,0.027236644
AR,Prairie,0.405740782,0.043881016,0.262272261,0.320026885,0.218391245,0.276145869,0.361859766,0.057754624,0.143468521,0.085713897
AR,Pulaski,-0.079282835,-0.001804383,-0.017596128,-0.016646797,-0.015791745,-0.014842414,-0.077478452,0.000949331,-0.061686707,-0.062636038
AR,Randolph,0.542334933,0.02077548,0.240231385,0.33674463,0.219455905,0.31596915,0.521559453,0.096513245,0.302103548,0.205590303
AR,St. Francis,0.072511425,-0.009902915,0.019957233,0.000622605,0.029860148,0.01052552,0.08241434,-0.019334628,0.052554192,0.07188882
AR,Saline,0.251241347,0.089344289,0.226839159,0.24429448,0.13749487,0.154950191,0.161897058,0.017455321,0.024402188,0.006946867
AR,Scott,0.366663231,0.017911416,0.19515433,0.236484152,0.177242914,0.218572736,0.348751815,0.041329822,0.171508901,0.130179079
AR,Searcy,0.291122343,-0.040966729,0.118483638,0.169971526,0.159450367,0.210938255,0.332089072,0.051487888,0.172638705,0.121150817
AR,Sebastian,0.179558985,0.047410674,0.148877423,0.173347145,0.101466749,0.125936471,0.132148311,0.024469722,0.030681562,0.00621184
AR,Sevier,0.480052047,0.100815494,0.396709684,0.479875775,0.29589419,0.379060281,0.379236553,0.083166091,0.083342363,0.000176272
AR,Sharp,0.478000489,0.046545843,0.22460439,0.323605825,0.178058547,0.277059982,0.431454646,0.099001435,0.253396099,0.154394664
AR,Stone,0.398636365,0.048796839,0.2442948,0.332656942,0.195497961,0.283860103,0.349839526,0.088362142,0.154341565,0.065979423
AR,Union,0.119484681,0.039546379,0.108330459,0.109292349,0.06878408,0.06974597,0.079938302,0.00096189,0.011154222,0.010192332
AR,Van Buren,0.481757048,0.051423479,0.276501038,0.353413491,0.225077559,0.301990012,0.430333569,0.076912453,0.20525601,0.128343557
AR,Washington,-0.033190259,-0.005449098,-0.001491405,0.030271298,0.003957693,0.035720396,-0.027741161,0.031762703,-0.031698854,-0.063461557
AR,White,0.366439552,0.079931318,0.254485692,0.31933265,0.174554374,0.239401332,0.286508234,0.064846958,0.11195386,0.047106902
AR,Woodruff,0.391220532,-0.01212614,0.227539483,0.260064471,0.239665623,0.272190611,0.403346672,0.032524988,0.163681049,0.131156061
AR,Yell,0.460940205,0.0900326,0.274189584,0.363500001,0.184156984,0.273467401,0.370907605,0.089310417,0.186750621,0.097440204
CA,Alameda,-0.18794588,-0.067813065,-0.142718233,-0.154567379,-0.074905168,-0.086754314,-0.120132815,-0.011849146,-0.045227647,-0.033378501
CA,Alpine,-0.221655914,-0.116001894,-0.272968494,-0.26160697,-0.1569666,-0.145605076,-0.10565402,0.011361524,0.05131258,0.039951056
CA,Amador,0.06773279,0.067912901,-0.038853177,0.010589477,-0.106766078,-0.057323424,-0.000180111,0.049442654,0.106585967,0.057143313
CA,Butte,-0.132730001,-0.073915571,-0.193623419,-0.15021595,-0.119707848,-0.076300379,-0.05881443,0.043407469,0.060893418,0.017485949
CA,Calaveras,0.054882174,0.052538193,-0.056072323,-0.016134171,-0.108610516,-0.068672364,0.002343981,0.039938152,0.110954497,0.071016345
CA,Colusa,-0.202832582,0.01895402,-0.155975815,-0.123739062,-0.174929835,-0.142693082,-0.221786602,0.032236753,-0.046856767,-0.07909352
CA,Contra Costa,-0.218685769,-0.041279161,-0.160125716,-0.134634348,-0.118846555,-0.093355187,-0.177406608,0.025491368,-0.058560053,-0.084051421
CA,Del Norte,0.00264379,-0.014484326,-0.102312858,-0.076039197,-0.087828532,-0.061554871,0.017128116,0.026273661,0.104956648,0.078682987
CA,El Dorado,-0.082152555,0.019803036,-0.114078448,-0.041318397,-0.133881484,-0.061121433,-0.101955591,0.072760051,0.031925893,-0.040834158
CA,Fresno,-0.162153253,0.056217503,-0.121803977,-0.118826559,-0.17802148,-0.175044062,-0.218370756,0.002977418,-0.040349276,-0.043326694
CA,Glenn,-0.090947371,-0.027347595,-0.158221761,-0.125419985,-0.130874166,-0.09807239,-0.063599776,0.032801776,0.06727439,0.034472614
CA,Humboldt,-0.221104185,-0.158203272,-0.252967879,-0.242845348,-0.094764607,-0.084642076,-0.062900913,0.010122531,0.031863694,0.021741163
CA,Imperial,-0.312644883,0.01262535,-0.15910223,-0.218007958,-0.17172758,-0.230633308,-0.325270233,-0.058905728,-0.153542653,-0.094636925
CA,Inyo,-0.128551706,-0.064449184,-0.172313787,-0.14948767,-0.107864603,-0.085038486,-0.064102522,0.022826117,0.043762081,0.020935964
CA,Kern,-0.118435728,0.095609866,-0.067448041,-0.077350668,-0.163057907,-0.172960534,-0.214045594,-0.009902627,-0.050987687,-0.04108506
CA,Kings,-0.056341332,0.1285732,-0.046954542,-0.038977192,-0.175527742,-0.167550392,-0.184914532,0.00797735,-0.00938679,-0.01736414
CA,Lake,0.059849104,0.014225777,-0.096117436,-0.07295681,-0.110343213,-0.087182587,0.045623327,0.023160626,0.15596654,0.132805914
CA,Lassen,0.121246782,0.047264589,-0.044882686,0.010058021,-0.092147275,-0.037206568,0.073982193,0.054940707,0.166129468,0.111188761
CA,Los Angeles,-0.182297076,0.035957084,-0.092513406,-0.107450476,-0.12847049,-0.14340756,-0.21825416,-0.01493707,-0.08978367,-0.0748466
CA,Madera,-0.111731274,0.035196344,-0.125564049,-0.087087482,-0.160760393,-0.122283826,-0.146927618,0.038476567,0.013832775,-0.024643792
CA,Marin,-0.264804002,-0.120078817,-0.217893064,-0.153660203,-0.097814247,-0.033581386,-0.144725185,0.064232861,-0.046910938,-0.111143799
CA,Mariposa,-0.004287326,-0.009318212,-0.112553444,-0.054241214,-0.103235232,-0.044923002,0.005030886,0.05831223,0.108266118,0.049953888
CA,Mendocino,-0.171844338,-0.172613764,-0.301113372,-0.259761068,-0.128499608,-0.087147304,0.000769426,0.041352304,0.129269034,0.08791673
CA,Merced,-0.188335002,0.075968428,-0.150445041,-0.154363728,-0.226413469,-0.230332156,-0.26430343,-0.003918687,-0.037889961,-0.033971274
CA,Modoc,-0.012616507,-0.024684286,-0.115441576,-0.074854271,-0.09075729,-0.050169985,0.012067779,0.040587305,0.102825069,0.062237764
CA,Mono,-0.241694387,-0.117533864,-0.248871774,-0.202690338,-0.13133791,-0.085156474,-0.124160523,0.046181436,0.007177387,-0.039004049
CA,Monterey,-0.203240454,-0.017047094,-0.179628329,-0.16563068,-0.162581235,-0.148583586,-0.18619336,0.013997649,-0.023612125,-0.037609774
CA,Napa,-0.210710932,-0.061256582,-0.180382916,-0.142593522,-0.119126334,-0.08133694,-0.14945435,0.037789394,-0.030328016,-0.06811741
CA,Nevada,-0.224334417,-0.090363204,-0.228488486,-0.169153379,-0.138125282,-0.078790175,-0.133971213,0.059335107,0.004154069,-0.055181038
CA,Orange,-0.239814312,0.053432546,-0.128384055,-0.091703957,-0.181816601,-0.145136503,-0.293246858,0.036680098,-0.111430257,-0.148110355
CA,Placer,-0.11418542,0.031640339,-0.119631472,-0.039259798,-0.151271811,-0.070900137,-0.145825759,0.080371674,0.005446052,-0.074925622
CA,Plumas,-0.074710784,-0.029032212,-0.157681854,-0.108670098,-0.128649642,-0.079637886,-0.045678572,0.049011756,0.08297107,0.033959314
CA,Riverside,-0.118959721,0.103075439,-0.088259709,-0.081645528,-0.191335148,-0.184720967,-0.22203516,0.006614181,-0.030700012,-0.037314193
CA,Sacramento,-0.203772642,0.037448796,-0.150416564,-0.149810129,-0.18786536,-0.187258925,-0.241221438,0.000606435,-0.053356078,-0.053962513
CA,San Benito,-0.0877443,0.064144964,-0.102242049,-0.080801342,-0.166387013,-0.144946306,-0.151889264,0.021440707,0.014497749,-0.006942958
CA,San Bernardino,-0.121819902,0.10226768,-0.078592118,-0.088922158,-0.180859798,-0.191189838,-0.224087582,-0.01033004,-0.043227784,-0.032897744
CA,San Diego,-0.236980057,0.021681898,-0.141698303,-0.115392001,-0.163380201,-0.137073899,-0.258661955,0.026306302,-0.095281754,-0.121588056
